32C.F,CARE.COM
W0I.F,COPPER LAKE
T3W1.F,TIME WARNER CBL
VGA.F,GILDAN ACTIVEWEAR
UUY.F,MAXSEC GROUP
WXF.F,HILLTOP HOLDINGS
TCLA.F,TIM PARTICIP SP ADR
QXR2.F,DESERT GOLD VENTURE
HPO.F,HOSPIT PPTY TR REIT
T01.F,TEEKAY OFFSH PRTN
XCC.F,CSE GLOBAL
VPA.F,AVEO PHARMA
0EJ.F,ENBIO HOLDINGS
BY5.F,MODERN WATER
FX9.F,WESTERN AREAS
Z1O.F,ZILLOW-A
VSA.F,VALEO
9TO.F,TOYOTA TSUSHO
RTHA.F,WILMAR INTL
QY6.F,QINETIQ GROUP
MAL2.F,BLUE SKY URANIUM
ZP3A.F,CN RES AND TRAN
LXN.F,LEXINGTON RLTY REIT
Z85.F,AUSTEVOLL SEAFOOD
EMO.F,EM SYSTEMS
2QO.F,QORVO
TOS.F,TOSOH CORP
C98.F,VICINITY CEN
VZAA.F,VALDOR TECHNOL
EZY.F,MGM WIRELESS
0YC.F,YUANDA CHINA
QFP.F,MONTEZUMA MINING
A0AW29.F,ERSTE FIN 4 NCNPP
XCI.F,CHINA UNICOM (HK)
UPM.F,ULTRA PETROLEUM
ZA2.F,ZAGG
Q9R.F,SUNLIGHT REIT
QK9.F,QLIK TECH
XT4Y.F,XACTLY
KONN.F,KOMERCNI BANKA
QDI.F,QUEST DIAGNOSTICS
2KT.F,KONOIKE TRANS
UNVB.F,UNILEVER
A0U1.F,AZINCOURT URANIUM
CUP.F,CHUGAI PHARM
HAE.F,HAEMATO
0ZG.F,ZILLOW GROUP-A
QFSP.F,QUANTUM FUEL SYS
QFI.F,AMERICAN FINCL GRP
VCXA.F,VIACOM-A
WV6.F,WEBMD HEALTH
I2X1.F,ICG
SOK.F,SANKYO
PU3.F,PUF VENTURES
KOH1.F,CHINA YUANBANG
LCR.F,LAS VEGAS SANDS
WAC.F,WACKER NEUSON N
ZCG.F,BJ'S RESTAURANTS
GRA.F,W R GRACE
W5E.F,PEEL MINING
X6C.F,COLOMBIAN MINES
CXX.F,CLOROX CO.
XIX.F,XILINX
LZ1.F,MOMENTA PHARMA
WI2.F,WIZZ AIR
Q8Q.F,QEP RESOURCES
W9C.F,CONSTELLATION SOFT
0YYA.F,YY SP ADR-A
XEB.F,SOJITZ
YFX.F,FXCM-A
XNP.F,CNP ASSURANCES
WDC.F,WESTERN DIGITAL
OYD.F,PACIFIC BASIN SHIP
LAW.F,LAWSON 
SFT.F,SOFTBANK GROUP
WXC.F,INV REIT SBI
MXH.F,M.A.X. AUTOMATION
AAFA.F,WAFERGEN BIO-SYS
304.F,MAG ONE PRODUCTS
QU5A.F,PADAENG IND NVDR
CZ2.F,NATION RET PPT REIT
YXEN.F,CAN STG METALS
YPH.F,ASTELLAS PHARMA
"0XHR.F,XENIA HOTELS&RESORT;"
TCO1.F,TESCO SP ADR
RYO1.F,RYOBI LTD
HZJ.F,HEIWA REAL ESTATE
1QM.F,QEP MIDSTREAM
0QT.F,QUANTUM PHARMA
Q6IA.F,QIHOO 360 ADS-A
AHQ.F,AMERICAN WOODMARK
WK0.F,WIJAYA KARYA BETON
ZVW.F,GEM DIAMONDS
XX4.F,RICHLAND RES
Z3E.F,Z ENERGY
IZO.F,JD GROUP
XGW.F,CALAVO GROWERS
XJA1.F,JAMBA
P3C.F,YUMA ENERGY
